State 1,State 2,State 3,State 4,State 5,State 6,Condition,Animal
428,477,128,158,64,13,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2095.1_M_L2_acA2040-120um__23701274__20230727_140003330DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
365,393,125,165,78,6,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2095.2M_L3_acA2040-120um__23701299__20230727_140051891DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
473,637,278,128,75,2,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2095.3M_L4_acA2040-120um__23670846__20230727_140218479DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
445,514,259,151,24,2,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2095.4_M_L1_acA2040-120um__23670847__20230727_143233933DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
493,684,268,97,14,4,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2096.0_M_L2_acA2040-120um__23701274__20230727_143600535DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
580,623,132,153,25,6,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2096.1M_L3_acA2040-120um__23701299__20230727_143717272DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
649,740,149,83,51,0,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2096.2M_L4_acA2040-120um__23670846__20230727_143857589DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
643,667,138,96,27,6,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2096.3_M_L1_acA2040-120um__23670847__20230727_150831120DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
445,520,240,145,33,10,Group3_1.0mgkg,Male_Group3_1.0mgkg_3_2096.4_M_L2_acA2040-120um__23701274__20230727_151209774DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
460,615,139,70,26,3,Group4_5mgkg,Male_Group4_5mgkg_3_2099.0_M_L1_acA2040-120um__23670847__20230728_105138774DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
222,349,83,71,13,0,Group4_5mgkg,Male_Group4_5mgkg_3_2099.1_M_L2__acA2040-120um__23701274__20230728_105508045DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
658,726,41,62,41,0,Group4_5mgkg,Male_Group4_5mgkg_3_2099.2M_L3_acA2040-120um__23701299__20230728_105550284DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
630,717,101,81,30,8,Group4_5mgkg,Male_Group4_5mgkg_3_2099.3M_L4_acA2040-120um__23670846__20230728_105712250DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
658,674,34,74,24,1,Group4_5mgkg,Male_Group4_5mgkg_3_2099.4_M_L1__acA2040-120um__23670847__20230728_112653313DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
407,573,173,87,33,2,Group4_5mgkg,Male_Group4_5mgkg_3_2100.0_M_L2_acA2040-120um__23701274__20230728_113029503DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
605,703,119,39,17,1,Group4_5mgkg,Male_Group4_5mgkg_3_2100.1M_L3_acA2040-120um__23701299__20230728_113115084DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
364,548,175,173,55,13,Group4_5mgkg,Male_Group4_5mgkg_3_2100.2M_L4_acA2040-120um__23670846__20230728_113233419DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
689,767,70,43,35,1,Group4_5mgkg,Male_Group4_5mgkg_3_2100.3_M_L1_acA2040-120um__23670847__20230728_120257418DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
461,624,168,49,32,4,Group4_5mgkg,Male_Group4_5mgkg_3_2100.4_M_L2_acA2040-120um__23701274__20230728_120634439DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
127,222,31,70,15,6,Group5_10mgkg,Male_Group5_10mgkg_3_2103.0_M_L1_acA2040-120um__23670847__20230728_135150209DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
171,353,89,107,17,13,Group5_10mgkg,Male_Group5_10mgkg_3_2103.1_M_L2_acA2040-120um__23701274__20230728_135510478DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
99,237,59,70,55,4,Group5_10mgkg,Male_Group5_10mgkg_3_2103.2M_L3_acA2040-120um__23701299__20230728_135647495DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
278,421,52,118,22,6,Group5_10mgkg,Male_Group5_10mgkg_3_2103.3M_L4_acA2040-120um__23670846__20230728_135800622DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
93,213,52,81,13,1,Group5_10mgkg,Male_Group5_10mgkg_3_2103.4_M_L1_acA2040-120um__23670847__20230728_142824849DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
229,431,85,130,53,22,Group5_10mgkg,Male_Group5_10mgkg_3_2104.0_M_L2_acA2040-120um__23701274__20230728_143148849DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
335,417,68,45,4,0,Group5_10mgkg,Male_Group5_10mgkg_3_2104.1M_L3_acA2040-120um__23701299__20230728_143232918DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
434,551,77,91,26,22,Group5_10mgkg,Male_Group5_10mgkg_3_2104.2M_L4_acA2040-120um__23670846__20230728_143404620DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
136,212,33,61,7,0,Group5_10mgkg,Male_Group5_10mgkg_3_2104.3_M_L1_acA2040-120um__23670847__20230728_150433732DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
84,203,55,63,32,0,Group5_10mgkg,Male_Group5_10mgkg_3_2104.4_M_L2_acA2040-120um__23701274__20230728_150819132DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
