Time_bin,still,still_SEM,walking,walking_SEM,rearing,rearing_SEM,grooming,grooming_SEM,licking hindpaw L,licking hindpaw L_SEM,licking hindpaw R,licking hindpaw R_SEM
16,0.2783333333333333,0.04049279771350291,0.3716666666666667,0.03441091558083148,0.21883333333333335,0.037873363551005956,0.12250000000000001,0.03665018568999496,0.008666666666666666,0.005279941077112298,0.0,0.0
17,0.31649999999999995,0.05044218362530401,0.33566666666666667,0.0421190112788882,0.2265,0.04266630859224745,0.11750000000000001,0.06607245601946732,0.003833333333333333,0.002867926079939997,0.0,0.0
18,0.3325,0.05578692100802442,0.3398333333333333,0.027981591170704437,0.2026666666666667,0.04495689293336698,0.11716666666666667,0.056854126206166124,0.007833333333333335,0.0055380000401268,0.0,0.0
19,0.283,0.03768863666058157,0.316,0.03663650274430317,0.24700000000000003,0.045539238270114066,0.11116666666666668,0.04577787553926993,0.042833333333333334,0.025901576528595066,0.0,0.0
20,0.31616666666666665,0.03824776681934079,0.3673333333333333,0.013385730378943759,0.2435,0.035948613016050804,0.05666666666666668,0.01540562667772179,0.01633333333333333,0.012020353109991768,0.0,0.0
21,0.29733333333333334,0.04468917343409052,0.35700000000000004,0.023253195718247223,0.22633333333333333,0.026990533319830652,0.10833333333333332,0.033334999958335415,0.011,0.007424434134816082,0.0,0.0
22,0.2625,0.03340679405284034,0.2963333333333333,0.052942211681962975,0.2758333333333333,0.04123391942456005,0.13216666666666668,0.03611174785763399,0.03316666666666667,0.019474270775107914,0.0,0.0
23,0.23366666666666663,0.031316307430971344,0.2645,0.05154720059216493,0.258,0.03646748932649158,0.21333333333333332,0.05666176449384148,0.02566666666666667,0.010072514857549505,0.004833333333333334,0.0030041637771599603
24,0.2935,0.05214586912370591,0.29433333333333334,0.044562191248735616,0.1755,0.03638226826964537,0.2233333333333333,0.06812814722597733,0.013333333333333332,0.009681023820971737,0.0,0.0
25,0.2208333333333333,0.050154898952035475,0.2826666666666667,0.05232016819544829,0.1685,0.023483386562513604,0.26916666666666667,0.09384332392048166,0.058833333333333335,0.023665551616924827,0.0,0.0
26,0.317,0.060806066948765704,0.30566666666666664,0.026307159988616532,0.1943333333333333,0.03938781537480848,0.16916666666666666,0.05103498255554169,0.013833333333333333,0.006442264957123214,0.0,0.0
27,0.324,0.03784045454272451,0.3668333333333334,0.04046153866465178,0.19216666666666665,0.03404331391363394,0.10583333333333336,0.033032181278262567,0.010666666666666666,0.007969385867876587,0.0005,0.00047434164902525685
28,0.2915,0.04862066890165585,0.2963333333333334,0.04453575342725587,0.24900000000000003,0.06417432854689206,0.13916666666666666,0.03948786733500135,0.024,0.022768399153212326,0.0,0.0
29,0.227,0.062246285029710816,0.20099999999999998,0.04211703271177167,0.25516666666666665,0.05753764468203017,0.2678333333333333,0.07155613569468068,0.03383333333333333,0.014269333862829366,0.015166666666666667,0.014040516767950923
30,0.2815,0.05093757072251395,0.2828333333333333,0.039698901468148674,0.20366666666666666,0.04621615879033363,0.19749999999999998,0.04646519007696932,0.029666666666666668,0.027444691856734534,0.004833333333333334,0.00458530260724415
